image_path,prediction,confidence,Optimistic,Pessimistic,Hostile,Neutral
Sample_Dataset/Reichel/images_with_faces/1040539_548496_image.jpeg,Neutral,0.9871,0.0036,0.0032,0.0061,0.9871
Sample_Dataset/Reichel/images_with_faces/1040592_548525_image.jpeg,Neutral,0.8285,0.1095,0.0432,0.0187,0.8285
Sample_Dataset/Reichel/images_with_faces/1040599_548530_image.jpeg,Unknown,0.3537,0.274,0.0343,0.3537,0.338
Sample_Dataset/Reichel/images_with_faces/1040627_548545_image.jpeg,Hostile,0.8694,0.0266,0.0491,0.8694,0.0549
Sample_Dataset/Reichel/images_with_faces/1040697_548584_image.jpeg,Hostile,0.9043,0.0044,0.0609,0.9043,0.0304
Sample_Dataset/Reichel/images_with_faces/1040946_548701_image.jpeg,Unknown,0.3915,0.2794,0.048,0.3915,0.281
Sample_Dataset/Reichel/images_with_faces/1041111_548796_image.jpeg,Neutral,0.8122,0.0754,0.0212,0.0912,0.8122
Sample_Dataset/Reichel/images_with_faces/1041191_548853_image.jpeg,Neutral,0.9534,0.0295,0.0051,0.012,0.9534
Sample_Dataset/Reichel/images_with_faces/1041497_549040_image.jpeg,Optimistic,0.9703,0.9703,0.0029,0.01,0.0168
Sample_Dataset/Reichel/images_with_faces/1041510_549046_image.jpeg,Optimistic,0.7451,0.7451,0.0021,0.0047,0.248
Sample_Dataset/Reichel/images_with_faces/1041512_549048_image.jpeg,Optimistic,0.9898,0.9898,0.001,0.0051,0.0041
Sample_Dataset/Reichel/images_with_faces/1041568_549081_image.jpeg,Optimistic,0.5273,0.5273,0.0741,0.0044,0.3942
Sample_Dataset/Reichel/images_with_faces/1041574_549088_image.jpeg,Pessimistic,0.9776,0.0059,0.9776,0.0023,0.0141
Sample_Dataset/Reichel/images_with_faces/1044342_550969_image.jpeg,Pessimistic,0.7287,0.113,0.7287,0.0539,0.1044
Sample_Dataset/Reichel/images_with_faces/1044998_551536_image.jpeg,Neutral,0.938,0.0493,0.01,0.0027,0.938
Sample_Dataset/Reichel/images_with_faces/1045004_551541_image.jpeg,Neutral,0.7659,0.2215,0.0027,0.01,0.7659
Sample_Dataset/Reichel/images_with_faces/1045011_551547_image.jpeg,Optimistic,0.9903,0.9903,0.0017,0.004,0.004
Sample_Dataset/Reichel/images_with_faces/1045023_551559_image.jpeg,Neutral,0.8742,0.1205,0.0048,0.0006,0.8742
Sample_Dataset/Reichel/images_with_faces/1045062_551598_image.jpeg,Neutral,0.628,0.3429,0.0037,0.0254,0.628
Sample_Dataset/Reichel/images_with_faces/1045070_551606_image.jpeg,Optimistic,0.571,0.571,0.0117,0.0189,0.3983
Sample_Dataset/Reichel/images_with_faces/1045104_551638_image.jpeg,Neutral,0.6045,0.3375,0.0063,0.0517,0.6045
Sample_Dataset/Reichel/images_with_faces/1045106_551640_image.jpeg,Optimistic,0.6888,0.6888,0.0034,0.0085,0.2994
Sample_Dataset/Reichel/images_with_faces/1045154_551685_image.jpeg,Neutral,0.9427,0.0545,0.0018,0.001,0.9427
Sample_Dataset/Reichel/images_with_faces/1045188_551716_image.jpeg,Neutral,0.7829,0.1654,0.0021,0.0496,0.7829
Sample_Dataset/Reichel/images_with_faces/1045189_551717_image.jpeg,Neutral,0.7928,0.1556,0.0018,0.0498,0.7928
Sample_Dataset/Reichel/images_with_faces/1045193_551721_image.jpeg,Optimistic,0.8776,0.8776,0.0025,0.0012,0.1186
Sample_Dataset/Reichel/images_with_faces/1045200_551729_image.jpeg,Optimistic,0.4628,0.4628,0.0562,0.0581,0.4228
Sample_Dataset/Reichel/images_with_faces/1045222_551751_image.jpeg,Pessimistic,0.9194,0.0032,0.9194,0.0167,0.0608
Sample_Dataset/Reichel/images_with_faces/1045230_551758_image.jpeg,Neutral,0.9328,0.0496,0.006,0.0115,0.9328
Sample_Dataset/Reichel/images_with_faces/1045234_551762_image.jpeg,Neutral,0.9561,0.0403,0.0032,0.0004,0.9561
Sample_Dataset/Reichel/images_with_faces/1045263_551777_image.jpeg,Optimistic,0.9991,0.9991,0.0005,0.0002,0.0003
Sample_Dataset/Reichel/images_with_faces/1045500_551921_image.jpeg,Hostile,0.5741,0.1337,0.1049,0.5741,0.1873
Sample_Dataset/Reichel/images_with_faces/1045503_551923_image.jpeg,Hostile,0.8792,0.0869,0.0011,0.8792,0.0329
Sample_Dataset/Reichel/images_with_faces/1046108_552236_image.jpeg,Optimistic,0.8328,0.8328,0.0587,0.0763,0.0322
Sample_Dataset/Reichel/images_with_faces/1046240_552332_image.jpeg,Hostile,0.9776,0.0044,0.009,0.9776,0.009
Sample_Dataset/Reichel/images_with_faces/1046279_552342_image.jpeg,Hostile,0.9267,0.0543,0.0164,0.9267,0.0026
Sample_Dataset/Reichel/images_with_faces/1046504_552526_image.jpeg,Hostile,0.5312,0.2094,0.0036,0.5312,0.2558
Sample_Dataset/Reichel/images_with_faces/1046713_552611_image.jpeg,Optimistic,0.8222,0.8222,0.0011,0.1271,0.0496
Sample_Dataset/Reichel/images_with_faces/1046901_552707_image.jpeg,Optimistic,0.8536,0.8536,0.0155,0.0167,0.1143
Sample_Dataset/Reichel/images_with_faces/1046905_552710_image.jpeg,Neutral,0.982,0.0042,0.0128,0.001,0.982
Sample_Dataset/Reichel/images_with_faces/1046923_552719_image.jpeg,Neutral,0.6802,0.2051,0.1046,0.0101,0.6802
Sample_Dataset/Reichel/images_with_faces/1046929_552721_image.jpeg,Neutral,0.7802,0.1966,0.0137,0.0094,0.7802
Sample_Dataset/Reichel/images_with_faces/1046997_552760_image.jpeg,Pessimistic,0.9009,0.0238,0.9009,0.006,0.0692
Sample_Dataset/Reichel/images_with_faces/1047071_552800_image.jpeg,Hostile,0.8426,0.1107,0.022,0.8426,0.0247
Sample_Dataset/Reichel/images_with_faces/1047079_552806_image.jpeg,Pessimistic,0.672,0.1009,0.672,0.1056,0.1215
Sample_Dataset/Reichel/images_with_faces/1049199_554363_image.jpeg,Optimistic,0.461,0.461,0.024,0.0852,0.4298
Sample_Dataset/Reichel/images_with_faces/1049203_554367_image.jpeg,Optimistic,0.9433,0.9433,0.0021,0.0038,0.0507
Sample_Dataset/Reichel/images_with_faces/1049204_554368_image.jpeg,Unknown,0.3814,0.1451,0.1095,0.364,0.3814
Sample_Dataset/Reichel/images_with_faces/1049206_554370_image.jpeg,Neutral,0.5244,0.1988,0.0534,0.2235,0.5244
Sample_Dataset/Reichel/images_with_faces/1049207_554371_image.jpeg,Neutral,0.644,0.3404,0.0008,0.0147,0.644
Sample_Dataset/Reichel/images_with_faces/1049208_554372_image.jpeg,Neutral,0.4518,0.1568,0.1916,0.1998,0.4518
